datetime,Pipeline_A_S1_dni,Pipeline_A_S1_dhi,Pipeline_A_S2_poa,Pipeline_A_S3_tcell,Pipeline_A_S4_pdc,Pipeline_A_S5_pac,Pipeline_B_S1_dni,Pipeline_B_S1_dhi,Pipeline_B_S2_poa,Pipeline_B_S3_tcell,Pipeline_B_S4_pdc,Pipeline_B_S5_pac,Pipeline_C_S1_dni,Pipeline_C_S1_dhi,Pipeline_C_S2_poa,Pipeline_C_S3_tcell,Pipeline_C_S4_pdc,Pipeline_C_S5_pac
2005-01-01 00:00:00+00:00,0.0,0.0,0.0,24.92,0.0,0.0,0.0,0.0,0.0,24.92,-0.0,0.0,0.0,0.0,0.0,24.92,0.0,0.0
2005-01-01 01:00:00+00:00,0.0,23.0,22.949601437388115,25.82794259609172,137.19951719081158,118.58276821790979,0.0,23.0,22.03954938373102,25.743791242149065,117.43276567365398,99.06814509956565,0.0,23.0,22.949601437388115,25.758662096060267,98.92535658918197,66.46791517358064
2005-01-01 02:00:00+00:00,6.385972529976033,77.2465110943795,79.0164920054846,27.773644215076597,468.65089873486374,445.4411092840761,0.0,78.85,78.60959551704606,27.557104039389426,441.53726374561217,418.72909288074794,10.345064391907815,76.2524009808235,79.12861897467397,27.530485288248556,400.07252914677576,361.73394936899365
2005-01-01 03:00:00+00:00,12.386329874503543,169.3030251659118,175.37949169241915,30.99094097676363,1026.4840334699143,993.9873915946849,12.35617060509332,169.31701837972665,175.33898468836745,30.52117008103628,1004.1146865302321,972.0280403139989,18.017587314513065,166.6902500242919,175.4909089711056,30.43013900494844,941.9541838304746,891.619390595867
2005-01-01 04:00:00+00:00,20.3014695898721,255.60761093947255,269.29797985904594,34.12439678892532,1555.6928898085418,1512.5806333383973,25.234251149746164,252.43861590836562,269.585125853939,33.39149212726845,1546.2407571491958,1503.3335220593774,25.299798456214855,252.3965059778973,269.26402851490377,33.23141377982996,1472.262807528342,1408.428363800214
2005-01-01 05:00:00+00:00,91.42292079329007,367.9831093618647,443.7558024201818,39.812690478348145,2502.2170756734627,2435.7346596864913,82.46625193100839,374.91611478719125,447.3351949975872,38.67675056456371,2536.872423992076,2469.427642444676,78.09229716218202,378.3018213047236,441.6032022021849,38.26074654531908,2433.8630077063513,2341.110092056215
2005-01-01 06:00:00+00:00,148.81674858606823,409.68156729149587,544.8727238326483,43.159484768256874,3028.1083946529557,2946.211476702516,117.62111878809843,436.1924435563553,547.7832651025739,41.67849505023226,3073.7529832990367,2990.436300949067,120.6357076979899,433.63056568765614,540.9585131548315,41.16677472406575,2975.9050316961707,2864.3288090382757
2005-01-01 07:00:00+00:00,26.60078030106628,358.50224641501205,382.3751759704555,38.18710875739796,2171.201543713918,2113.531447884266,29.428638027679675,356.0574168109928,386.67429291417,37.182131482923936,2201.23308229097,2142.791850552062,30.466295448174105,355.1603081776341,382.1794251914936,36.82454764273999,2102.51000842014,2020.3682513593478
2005-01-01 08:00:00+00:00,194.17884556367707,389.71164133495864,559.9897536590282,45.28382187264997,3083.235213721766,2999.6219483820473,155.53453273802498,421.2928496598899,564.9908502539976,41.85356755358701,3168.7462426238967,3082.4328920259463,155.73376556065656,421.1300310504588,554.8699285068856,40.97820395899113,3058.171419502798,2943.5794158617423
2005-01-01 09:00:00+00:00,51.737058988132056,321.41054334049585,360.70561566724086,40.18640218702777,2030.646738232523,1976.5105004312313,53.95165431495599,319.83577739152264,364.29519491325533,38.41064713588248,2059.63995582979,2004.7849150470333,49.36982262109043,323.09385007325886,359.79445943983876,37.94075512865869,1963.7637636286981,1885.8633260344811
